,NAME,POSITION,EDUCATION
0,"Abercromby, Kira J. (2008) Aerospace Engineering",Professor,"B.S., University of California, Los Angeles, 1994; M.S., University of Colorado, Boulder, 1998; Ph.D., 2000."
1,"Abo Ismail, Mohammed (2019) Animal Science",Assistant Professor,"B.S., Alexandria University Damanhour, 2000; M.S., Alexandria University; Ph.D., University of Guelph, 2012"
2,"Adams, Nikki L. (2002) Biological Sciences",Professor,"B.A., University of California, Santa Barbara, 1988; M.S., University of Maine, 1995; Ph.D., 2000."
3,"Adams, Aubrie S. (2017) Communication Studies",Assistant Professor,"B.A., Sonoma State University, 2005; M.A., Sacramento State University, 2013; Ph.D. Univeristy of California at Santa Barbara, 2017."
4,"Adan, Elizabeth (2007) Women's, Gender and Queer Studies, Interdisciplinary Studies in the Liberal Arts",Professor and WGQS Department Chair,"B.A., University of California, Davis, 1993; M.F.A., University of California, Santa Barbara, 1997; M.A., University of California, Berkeley, 2000; Ph.D., University of California, Santa Barbara, 2006."
5,"Agarwal, Puneet (2021) Industrial and Manufacturing Engineering",Assistant Professor,"B.S., Jadavpur University, Kolkata, 2016; M.S., University of Buffalo, New York,2019; Ph.D., University of Buffalo, Buffalo, New York."
6,"Agbo, Samuel O. (1991) Electrical Engineering",Professor,"B.Sc., University of Nigeria, 1975; M.S.E., University of Michigan, 1978; Ph.D., University of Houston, 1984."
7,"Ahlgren, William L. (1999) Electrical Engineering",Associate Professor,"S.B., Massachusetts Institute of Technology, 1975; M.S., University of Arizona, 1977; Ph.D., University of Southern California, 1981."
8,"Aivazpour, Zahra (2020) Management, HR, and Information Systems",Assistant Professor,"Ph.D., University of Texas @ San Antonio, 2020"
9,"Al-Nakib, Farah (2018) History",Associate Professor,"B.A., George Washington University, 2001; M.A., University of London, 2006; University of London, 2011, Ph.D."
10,"Alaniz, Ryan C. (2011) Social Sciences",Professor and Department Chair,"B.A., California Polytechnic State University, San Luis Obispo, 2000; M.A., University of California, Santa Barbara, 2004; Ph.D., University of Minnesota, 2012."
11,"Alber, Julia M. (2017) Kinesiology and Public Health",Associate Professor,"B.S., University of Illinois, Champaign-Urbana, 2010; MPH, University of North Carolina, Greensboro, 2012; Ph.D., University of Florida, 2015."
